Season	No. in series	Company	Deal	Entrepreneur Gender	Amount	Equity	Valuation
3	2	Salespreneur	No	Male			
3	2	Invis-A-Rack	No	Male			
3	2	Vegas Magic Show	No	Male			
3	3	You Smell Soap	Yes	Female	"$50,000 "	50%	100000.00
3	3	Chord Buddy	Yes	Male	"$175,000 "	20%	875000.00
3	3	Liquid Money	No	Male			
3	3	Tail Lightz	No	Male			
3	4	Wine Balloon	Yes	Male	"$400,000 "	100%	400000.00
3	4	Show No	Yes	Female	"$75,000 "	25%	300000.00
3	4	The Swilt	No	Female			
3	4	Puppy Cake	No	Female			
3	5	The Last Lid	Yes	Mixed Team	"$40,000 "	60%	66667.00
3	5	Talbott Teas	Yes	Male	"$250,000 "	35%	714286.00
3	5	M3 Girl Designs	Yes	Female	"$300,000 "	30%	1000000.00
3	5	Ledge Pillow	No	Female			
3	6	Readerest Specsecure	Yes	Male	"$150,000 "	65%	230769.00
3	6	The Painted Pretzel	Yes	Female	"$100,000 "	25%	400000.00
3	6	Esso Watches	No	Male			
3	6	Five Minute Furniture	No	Male			
3	7	Kisstixx	Yes	Male	"$200,000 "	40%	500000.00
3	7	The Smart Baker	Yes	Mixed Team	"$75,000 "	40%	187500.00
3	7	ScotteVest	No	Male			
3	7	The Heat Helper	No	Male			
3	8	Litter	Yes	Female	"$80,000 "	51%	156863.00
3	8	Nardo's Natural	Yes	Male	"$75,000 "	50%	150000.00
3	8	The Original Profender	No	Male			
3	8	Rent-A-Grandma	No	Male			
3	9	Tower Paddle Boards	Yes	Male	"$150,000 "	30%	500000.00
3	9	Miso Media	Yes	Male	"$300,000 "	8%	3750000.00
3	9	Instant Lifts	No	Mixed Team			
3	9	Vinamor	No	Male			
3	10	GoGo Gear	Yes	Female	"$300,000 "	50%	600000.00
3	10	The Ave Venice	No	Male			
3	10	Brewer’s Cow	No	Male			
3	10	Bark’em’s To Go	No	Male			
3	11	ViewSport	No	Male			
3	11	Blondies Cookies	No	Female			
3	11	Copa di Vino	No	Male			
3	11	The Sullivan Generator	No	Male			
3	12	Lollacup	Yes	Mixed Team	"$100,000 "	40%	250000.00
3	12	Nail Pak	Yes	Female	"$50,000 "	40%	125000.00
3	12	Debbie Brooks Handbags	No	Mixed Team			
3	12	Trimi Tank	No	Female			
3	13	Villy Customs	Yes	Male	"$500,000 "	42%	1190476.00
3	13	Boot Illusions	Yes	Mixed Team	"$500,000 "	40%	1250000.00
3	13	AirBedz	No	Male			
3	13	Skyride 	No	Male			
3	14	Dance With Me	Yes	Male	"$100,000 "	50%	200000.00
3	14	Wild Squirrel Nut Butter	Yes	Female	"$50,000 "	40%	125000.00
3	14	Mix Bikini	Yes	Male	"$50,000 "	25%	200000.00
3	14	Cab20 Rock Band 	No	Male			
3	15	Remyxx ReKixx Sneakers	Yes	Male	"$50,000 "	80%	62500.00
3	15	UniKey Technologies	Yes	Male	"$500,000 "	40%	1250000.00
3	15	The NitroForce Titan 1000	No	Mixed Team			
3	15	Cougar Limited	No	Male			
4	1	Bev Buckle	Yes	Male	"$50,000 "	51%	98039.00
4	1	Buggy Beds	Yes	Female	"$250,000 "	25%	1000000.00
4	1	Coat Chex	No	Male			
4	1	Body Walking	No	Male			
4	2	SurfSet Fitness	Yes	Mixed Team	"$300,000 "	30%	1000000.00
4	2	CateApp	Yes	Male	"$75,000 "	30%	250000.00
4	2	Alpha M	No	Male			
4	2	eCreamery	No	Female			
4	3	Rock Bands	Yes	Male	"$100,000 "	40%	250000.00
4	3	Posture Now	Yes	Male	"$100,000 "	30%	333333.00
4	3	FuzziBunz	No	Female			
4	3	Liz Lovely Cookies	No	Mixed Team			
4	4	Bag Bowl	Yes	Male	"$40,000 "	33%	121212.00
4	4	Back 9 Dips	Yes	Mixed Team	"$150,000 "	25%	600000.00
4	4	Lift Hamper	No	Male			
4	4	Zomm	No	Male			
4	5	Cozy Bugs	Yes	Female	"$50,000 "	30%	166667.00
4	5	Marz Sprays	Yes	Male	"$200,000 "	25%	800000.00
4	5	Wired Waffles	No	Male			
4	5	The Spatty and The Spaddy Dadd	No	Female			
4	6	PRO-NRG	Yes	Mixed Team	"$250,000 "	30%	833333.00
4	6	Cousins Maine Lobster	Yes	Male	"$55,000 "	15%	366667.00
4	6	Freaker USA	No	Male			
4	6	EcoNutsSoap	No	Mixed Team			
4	7	SBU	Yes	Male	"$300,000 "	33%	909091.00
4	7	Scrub Daddy	Yes	Male	"$200,000 "	20%	1000000.00
4	7	The Shemie	No	Male			
4	7	The Bear & The Rat	No	Mixed Team			
4	8	The Cool Wazoo	Yes	Female	"$65,000 "	35%	185714.00
4	8	Plate Topper	Yes	Male	"$90,000 "	8%	1125000.00
4	8	No Fly Cone	No	Male			
4	9	Drive Suits	Yes	Male	"$150,000 "	30%	500000.00
4	9	Ice Chips Candy	Yes	Female	"$125,000 "	20%	625000.00
4	9	ReVestor	No	Male			
4	9	PC Classes Online	No	Male			
4	10	Ruck Pack Combat Nutrition	Yes	Male	"$150,000 "	20%	750000.00
4	10	Nearly Newlywed	No	Female			
4	10	Tie Try	No	Male			
4	10	Corks Away	No	Male			
4	11	The Living Christmas Company	Yes	Male	"$150,000 "	40%	375000.00
4	11	The Coop	Yes	Female	"$150,000 "	15%	1000000.00
4	11	Partie Poche 	No	Mixed Team			
4	11	Fat Ass Fudge	No	Female			
4	12	Hot Tot	Yes	Female	"$75,000 "	40%	187500.00
4	12	The GameFace Company	Yes	Male	"$450,000 "	35%	1285714.00
4	12	Dura Tent	No	Male			
4	12	ARKEG	No	Male			
4	13	Coffee Joulies	Yes	Male	"$150,000 "	n/a	n/a
