Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
5,3,Rapid Ramen Cooker,Yes,Food and Beverage,Male,"$300,000",15%,"$2,000,000",,1,,,,,,,1,"$300,000","$150K is investment, $150K is loan"
5,3,Fairy Tale Wishes,No,Children / Education,Female,,,,,,,,,,,,0,,
5,3,Kook n Kap,No,Food and Beverage,Female,,,,,,,,,,,,0,,
5,4,Screen Mend,Yes,Lifestyle / Home,Mixed Team,"$30,000",50%,"$60,000",,,1,,,,,,1,"$30,000",
5,4,Hamboards Skateboard/Surfboard,Yes,Fitness / Sports,Male,"$300,000",30%,"$1,000,000",,,,1,,,,,1,"$300,000",
5,4,R Dubs Sunday Night Slow Jams,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,4,Scan. Me App,No,Software / Tech,Male,,,,,,,,,,,,0,,
5,5,Garden Pops,Yes,Food and Beverage,Mixed Team,"$75,000",30%,"$250,000",1,1,,,,,,,2,"$37,500",
5,5,Ruffle Butts - Rugged Butts,Yes,Fashion / Beauty,Mixed Team,"$300,000",9%,"$3,333,333",,,1,,,,,,1,"$300,000",
5,5,Bare Ease Bikini Waxing,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
5,5,Rent A Goat,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
5,6,Total Merchant Resources,Yes,Business Services,Mixed Team,"$200,000",50%,"$400,000",,,,,,1,,,1,"$200,000",
5,6,Ten Thirty One Haunted Hayrides,Yes,Media / Entertainment,Female,"$2,000,000",20%,"$10,000,000",,1,,,,,,,1,"$2,000,000",
5,6,Fiber Fix Tape,Yes,Lifestyle / Home,Male,"$250,000",12%,"$2,083,333",,,1,,,,,,1,"$250,000",
5,6,Elephant Chat,No,Consumer Products,Mixed Team,,,,,,,,,,,,0,,
5,7,180 Party Cup,Yes,Lifestyle / Home,Male,"$300,000",25%,"$1,200,000",,,,,1,,,,1,"$300,000",
5,7,Tree T Pee,Yes,Green/CleanTech,Male,"$150,000",20%,"$750,000",,,,,,,,1,1,"$150,000",
5,7,Better Life Cleaning Products,Yes,Green/CleanTech,Male,"$400,000",17%,"$2,352,941",,,1,,,,,,1,"$400,000",$400K is loan; equity drops to 7% once loan paid back
5,7,Kymera Electric Surfboards,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
5,8,Paparazzi Proposals,Yes,Lifestyle / Home,Male,"$250,000",33%,"$757,576",,,1,,,1,,,2,"$125,000",$200K as loan
5,8,Schulzies Bread Pudding,No,Food and Beverage,Female,,,,,,,,,,,,0,,
5,8,BellyBuds,No,Healthcare,Male,,,,,,,,,,,,0,,
5,8,PetPaint,No,Pet Products,Male,,,,,,,,,,,,0,,
5,9,Surprise Ride,No,Children / Education,Female,,,,,,,,,,,,0,,
5,9,Slawsa,No,Food and Beverage,Female,,,,,,,,,,,,0,,
5,9,DoorBot,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,9,Magic Moments,No,Software / Tech,Male,,,,,,,,,,,,0,,
5,10,Grace & Lace Knitted Boot Socks,Yes,Fashion / Beauty,Mixed Team,"$175,000",10%,"$1,750,000",1,,,,,,,,1,"$175,000",half of investment is credit line
5,10,Yubo Customized Lunch Boxes,Yes,Children / Education,Mixed Team,"$150,000",20%,"$750,000",,,,1,,1,,,2,"$75,000","if they pay it back in 18 months, equity drops to 10%"
5,10,PurseCase,Yes,Fashion / Beauty,Female,"$55,000",15%,"$366,667",,,,,1,,,,1,"$55,000",
5,10,Chocomize Chocolate Bars,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,11,De-Boned Baby Back Rib Steak,Yes,Food and Beverage,Mixed Team,"$300,000",30%,"$1,000,000",,,,,1,,,,1,"$300,000",
5,11,SpiritHoods,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
5,11,FoHawx,No,Fitness / Sports,Female,,,,,,,,,,,,0,,
5,11,Virtuix Omni,No,Software / Tech,Male,,,,,,,,,,,,0,,
5,12,Tipsy Elves,Yes,Fashion / Beauty,Male,"$100,000",10%,"$1,000,000",,,,1,,,,,1,"$100,000",
5,12,One Life Products,Yes,Lifestyle / Home,Male,"$50,000",35%,"$142,857",,,,,1,,,,1,"$50,000",
5,12,Cashmere Hair,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
5,12,Lite-Netics,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,13,GrooveBook,Yes,Software / Tech,Mixed Team,"$150,000",n/a,n/a,,1,,,,1,,,2,"$75,000",Sold to Shutterfly for $14.5M; deal was for 80% of the licensing rights
5,13,The Wall DoctoRX,Yes,Lifestyle / Home,Male,"$150,000",0%,n/a,,,,1,,,,,1,"$150,000",exclusive rights to sell internationally
5,13,Bounce Boot Camp,No,Children / Education,Male,,,,,,,,,,,,0,,
5,13,EyeBloc,No,Software / Tech,Male,,,,,,,,,,,,0,,
5,14,LockerBones,Yes,Children / Education,Male,"$175,000",50%,"$350,000",,,1,1,,,,,2,"$87,500",
5,14,InvisiPlug,Yes,Software / Tech,Male,"$125,000",10%,"$1,250,000",,,1,,,,,,1,"$125,000","$1 per unit until she makes it back, then 25 cents per unit thereafter"
5,14,Balloon Distractions,No,Children / Education,Male,,,,,,,,,,,,0,,
5,14,Alaska Glacial Mud Co.,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
5,15,SwimZip,Yes,Children / Education,Mixed Team,"$60,000",20%,"$300,000",,,1,,,,,,1,"$60,000",
5,15,Freshly Picked,Yes,Children / Education,Female,"$150,000",25%,"$600,000",,,,,1,,,,1,"$150,000",
5,15,FitDeck,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
5,15,LifeCaps,No,Healthcare,Male,,,,,,,,,,,,0,,
5,16,The Cookie Dough Cafe,Yes,Food and Beverage,Female,"$100,000",30%,"$333,333",,,1,,,,,1,2,"$50,000",
5,16,Cycloramic,Yes,Software / Tech,Male,"$500,000",15%,"$3,333,333",,1,1,,,,,,2,"$250,000",
5,16,Nexersys,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
5,16,Cow Wow Cereal Milk,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,17,Spy Escape and Evasion,Yes,Children / Education,Male,"$150,000",45%,"$333,333",,,,,1,,,,1,"$150,000",
5,17,Southern Culture Artisan Foods,Yes,Food and Beverage,Female,"$100,000",38%,"$263,158",1,,,,,,,,1,"$100,000",
5,17,DDP Yoga,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
5,17,Moberi,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,18,Bambooee,Yes,Lifestyle / Home,Mixed Team,"$200,000",10%,"$2,000,000",,,1,,,,,,1,"$200,000",
5,18,Buzzy4Shots,No,Healthcare,Female,,,,,,,,,,,,0,,
5,18,ZipIt,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
5,18,Cheek'd,No,Software / Tech,Female,,,,,,,,,,,,0,,
5,19,U-Lace,Yes,Fashion / Beauty,Male,"$200,000",35%,"$571,429",,1,,,,,,,1,"$200,000",
5,19,RevoLights,Yes,Fitness / Sports,Male,"$300,000",10%,"$3,000,000",,,,1,,,,,1,"$300,000",
5,19,Squeeky Knees,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
5,19,The Buffer Bit,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
5,20,Henry's Humdingers,Yes,Food and Beverage,Male,"$300,000",75%,"$400,000",,1,,1,,,,,2,"$150,000",
5,20,Boo Boo Goo,Yes,Healthcare,Mixed Team,"$100,000",25%,"$400,000",,,,,,1,,,1,"$100,000",
5,20,Iretron,Yes,Software / Tech,Male,"$100,000",20%,"$500,000",1,1,,,,,,,2,"$50,000",
5,20,Define Bottle,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,21,Packback Books,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
5,21,Chapul,Yes,Food and Beverage,Male,"$50,000",15%,"$333,333",,1,,,,,,,1,"$50,000",
5,21,Garage Door Lock,Yes,Lifestyle / Home,Male,"$275,000",35%,"$785,714",,,,,1,,,,1,"$275,000",
5,21,MorningHead,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,22,Plated,Yes,Food and Beverage,Male,"$500,000",6%,"$8,992,806",,1,,,,,,,1,"$500,000",
5,22,Monkey Mat,Yes,Lifestyle / Home,Mixed Team,"$100,000",35%,"$285,714",,1,1,,,,,,2,"$50,000",
5,22,The Paint Brush Cover,Yes,Lifestyle / Home,Male,"$100,000",20%,"$500,000",,,1,,,,,,1,"$100,000",
5,22,Kodiak Cakes,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
5,23,Velocity Signs,Yes,Business Services,Male,"$225,000",30%,"$750,000",,1,,1,,1,,,3,"$75,000",
5,23,Happy Feet,Yes,Fashion / Beauty,Male,"$375,000",25%,"$1,500,000",,,,,,,,,0,#DIV/0!,
5,23,Hold Your Haunches,Yes,Fashion / Beauty,Female,"$100,000",40%,"$250,000",1,,1,,,,,,2,"$50,000",
5,23,Lord Nut Levington,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,24,Fun Time Express,Yes,Children / Education,Male,"$125,000",20%,"$625,000",,,1,,,1,,,2,"$62,500",
5,24,PowerPot,Yes,Food and Beverage,Male,"$250,000",12%,"$2,083,333",,1,,,,,,,1,"$250,000",
5,24,Quickstop Fire Sprinkler Tools,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,24,Taylor Robinson Music,No,Software / Tech,Male,,,,,,,,,,,,0,,
5,25,ZooBean,Yes,Children / Education,Mixed Team,"$250,000",30%,"$833,333",,1,,,,,,,1,"$250,000",
5,25,iLumi,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,25,Fort Magic,No,Children / Education,Female,,,,,,,,,,,,0,,
5,25,Intelli-Stopper Technology,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,26,Rugged Maniac,Yes,Fitness / Sports,Male,"$1,750,000",25%,"$7,000,000",,1,,,,,,,1,"$1,750,000",
5,26,Cerebral Success,Yes,Healthcare,Male,"$75,000",40%,"$187,500",1,,,,,,,,1,"$75,000",
